World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Rank	Score
103	Uppsala University	Sweden	2	196	478	111	98	81.7
104	University of Tübingen	Germany	6	50	1045	89	148	81.6
105	University of Montreal	Canada	5	397	431	116	92	81.6
106	University of Basel	Switzerland	4	51	290	122	147	81.5
107	University of Amsterdam	Netherlands	5	148	926	247	51	81.5
108	Australian National University	Australia	4	114	670	75	123	81.4
109	Rice University	USA	55	102	81	70	190	81.4
110	Tokyo Institute of Technology	Japan	5	183	69	49	228	81.4
111	Technion – Israel Institute of Technology	Israel	3	57	283	40	215	81.3
112	KU Leuven	Belgium	1	-	395	-	53	81.3
113	University of New South Wales	Australia	5	466	117	-	76	81.3
114	Case Western Reserve University	USA	56	46	244	195	127	81.2
115	University of Queensland	Australia	6	281	554	-	56	81.2
116	Nagoya University	Japan	6	59	284	68	179	81.1
117	University of Nottingham	United Kingdom	9	218	394	72	128	81.1
118	KTH Royal Institute of Technology	Sweden	3	132	44	130	218	81.1
119	Shanghai Jiao Tong University	China	4	-	216	-	69	81.0
120	University of Geneva	Switzerland	5	78	359	160	122	81.0
121	Zhejiang University	China	5	-	475	-	63	81.0
122	University of Birmingham	United Kingdom	10	85	356	171	113	80.9
123	Baylor College of Medicine	USA	57	175	-	101	125	80.9
124	University of Freiburg	Germany	7	84	200	118	152	80.8
125	University of Southampton	United Kingdom	11	468	328	134	112	80.8
126	University of Western Australia	Australia	7	101	671	128	124	80.8
127	McMaster University	Canada	6	153	673	153	108	80.7
128	University of São Paulo	Brazil	1	457	264	219	89	80.7
129	University of Barcelona	Spain	1	-	450	-	74	80.7
130	Nanyang Technological University	Singapore	2	-	1186	-	67	80.6
131	INSEAD	France	6	-	2	-	1583	80.6
132	Fudan University	China	6	-	167	-	99	80.6
133	University of Strasbourg	France	7	99	-	32	208	80.5
134	University of Helsinki	Finland	1	417	1007	226	80	80.5
135	University of Bonn	Germany	8	110	472	112	149	80.5
136	Ghent University	Belgium	2	415	621	233	84	80.4
137	University of Glasgow	United Kingdom	12	282	280	164	119	80.4
138	Sapienza University of Rome	Italy	1	421	454	155	117	80.4
139	Cardiff University	United Kingdom	13	310	480	58	166	80.3
140	University of Notre Dame	USA	58	147	33	-	277	80.3
141	Lund University	Sweden	4	203	684	-	87	80.3
142	University of Iowa	USA	59	197	300	142	134	80.2
143	Tel Aviv University	Israel	4	401	136	-	116	80.2
144	Radboud University	Netherlands	6	163	571	-	94	80.2
145	Grenoble Alpes University	France	8	317	1227	-	88	80.2
146	VU Amsterdam	Netherlands	7	-	1015	-	91	80.1
147	Brandeis University	USA	60	21	227	27	520	80.1
148	Icahn School of Medicine at Mount Sinai	USA	61	-	-	210	107	80.1
149	University of Colorado Denver | Anschutz Medical Campus	USA	62	-	-	100	154	80.0
150	University of Science and Technology of China	China	7	385	360	-	106	80.0
151	Aix-Marseille University	France	9	494	924	-	101	80.0
152	Indiana University Bloomington	USA	63	162	75	188	193	79.9
153	Michigan State University	USA	64	263	258	-	110	79.9
154	University of Göttingen	Germany	9	56	292	237	158	79.9
155	Goethe University Frankfurt	Germany	10	217	693	76	186	79.9
156	University of Gothenburg	Sweden	5	405	396	94	176	79.8
157	University of Bern	Switzerland	6	169	1212	166	133	79.8
158	Tohoku University	Japan	7	140	147	-	135	79.8
159	University of Massachusetts Amherst	USA	65	322	241	102	188	79.7
160	University of Padova	Italy	2	372	1456	208	120	79.7
161	Yonsei University	South Korea	2	-	111	-	145	79.7
162	Norwegian University of Science and Technology	Norway	2	333	391	33	259	79.7
163	University of Liverpool	United Kingdom	14	108	422	176	151	79.6
164	University of Sheffield	United Kingdom	15	130	469	202	137	79.6
165	MINES ParisTech	France	10	124	9	214	1011	79.6
166	Arizona State University	USA	66	-	756	200	130	79.5
167	University of Montpellier	France	11	497	1146	-	111	79.5
168	Waseda University	Japan	8	311	23	-	441	79.5
169	University of Hong Kong	Hong Kong	1	-	160	-	139	79.5
170	University of Leeds	United Kingdom	16	111	293	-	132	79.4
171	Queen Mary University of London	United Kingdom	17	104	711	152	164	79.4
172	University of Warwick	United Kingdom	18	343	199	156	173	79.4
173	Iowa State University	USA	67	325	203	137	192	79.4
174	North Carolina State University	USA	68	369	404	140	172	79.3
175	Nanjing University	China	8	463	473	-	126	79.3
176	University of Hamburg	Germany	11	248	427	-	129	79.3
177	Stockholm University	Sweden	6	173	299	158	174	79.3
178	Korea University	South Korea	3	-	94	-	178	79.2
179	University of Waterloo	Canada	7	-	215	138	200	79.2
180	Université catholique de Louvain	Belgium	3	-	491	117	198	79.2
181	University of Lausanne	Switzerland	7	-	834	104	204	79.2
182	University of Missouri–Columbia	USA	69	447	206	63	267	79.1
183	Wageningen University & Research	Netherlands	8	409	888	173	156	79.1
184	University of Calgary	Canada	8	-	218	-	144	79.1
185	HEC Paris	France	12	400	5	-	1871	79.1
186	University of Ottawa	Canada	9	-	423	-	131	79.0
187	Western University	Canada	10	-	93	-	184	79.0
188	Chinese University of Hong Kong	Hong Kong	2	393	1175	180	157	79.0
189	Hokkaido University	Japan	9	231	294	107	230	79.0
190	University of Milan	Italy	3	407	594	-	138	78.9
191	Sun Yat-sen University	China	9	-	523	-	141	78.9
192	Sungkyunkwan University	South Korea	4	-	229	-	155	78.9
193	Stony Brook University	USA	70	252	-	159	181	78.9
194	University of Bologna	Italy	4	-	728	-	140	78.8
195	Autonomous University of Barcelona	Spain	2	-	-	-	143	78.8
196	London School of Hygiene & Tropical Medicine	United Kingdom	19	479	-	179	171	78.8
197	University of Alabama at Birmingham	USA	71	-	986	-	146	78.8
198	Université libre de Bruxelles	Belgium	4	261	261	120	247	78.7
199	KAIST	South Korea	5	-	152	-	175	78.7
200	University of Texas Health Science Center at Houston	USA	72	-	-	96	246	78.7
201	University of Miami	USA	73	-	237	-	163	78.7
202	University of Leicester	United Kingdom	20	-	-	109	245	78.6
203	Georgetown University	USA	74	478	51	-	292	78.6
204	University of California, Riverside	USA	75	250	-	167	195	78.6
205	Huazhong University of Science and Technology	China	10	-	209	-	170	78.6
206	Virginia Commonwealth University	USA	76	-	983	74	278	78.6
207	University of Georgia	USA	77	348	319	196	194	78.5
208	University of California, Santa Cruz	USA	78	264	-	151	205	78.5
209	TU Dresden	Germany	12	-	-	-	153	78.5
210	Kyushu University	Japan	10	232	105	-	220	78.5
211	Newcastle University	United Kingdom	21	474	508	183	197	78.4
212	University of Cologne	Germany	13	471	271	215	185	78.4
213	Technical University of Denmark	Denmark	3	490	764	220	168	78.4
214	University of Massachusetts Medical School	USA	79	-	-	45	314	78.4
215	University of Kansas	USA	80	370	289	146	231	78.4
216	Oregon Health & Science University	USA	81	-	-	212	177	78.3
217	University of Adelaide	Australia	8	246	757	-	161	78.3
218	Paris Descartes University	France	13	316	843	239	162	78.3
219	University of Erlangen–Nuremberg	Germany	14	517	910	-	159	78.3
220	University of Illinois at Chicago	USA	82	359	1056	-	160	78.2
221	University of Münster	Germany	15	286	772	224	180	78.2
222	Lomonosov Moscow State University	Russia	1	95	348	174	249	78.2
223	University of Reading	United Kingdom	22	75	95	129	369	78.2
224	Wake Forest University	USA	83	-	68	-	284	78.2
225	Trinity College Dublin	Ireland	1	304	87	230	272	78.1
226	Paul Sabatier University	France	14	-	-	-	165	78.1
227	RWTH Aachen University	Germany	16	513	251	-	187	78.1
228	University of Lisbon	Portugal	1	321	1058	229	182	78.1
229	Yeshiva University	USA	84	142	-	204	206	78.1
230	Claude Bernard University Lyon 1	France	15	-	1127	-	167	78.0
231	University of Cincinnati	USA	85	357	204	-	203	78.0
232	Karlsruhe Institute of Technology	Germany	17	508	282	-	191	78.0
233	Colorado State University	USA	86	332	1190	157	235	78.0
234	University of Houston	USA	87	-	118	106	340	78.0
235	Johannes Gutenberg University Mainz	Germany	18	-	-	187	212	77.9
236	Delft University of Technology	Netherlands	9	280	382	-	199	77.9
237	Charles University in Prague	Czech Republic	1	486	1335	-	183	77.9
238	University of Würzburg	Germany	19	136	908	249	201	77.9
239	University of Turin	Italy	5	386	1096	-	189	77.9
240	Harbin Institute of Technology	China	11	-	433	-	202	77.8
241	University of Manitoba	Canada	11	346	220	150	287	77.8
242	Maastricht University	Netherlands	10	-	1367	-	196	77.8
243	Kiel University	Germany	20	476	885	213	221	77.8
244	University of Tsukuba	Japan	11	-	-	103	297	77.8
245	Wuhan University	China	12	-	357	-	211	77.7
246	University of Auckland	New Zealand	1	437	421	-	213	77.7
247	University of Delaware	USA	88	360	691	107	311	77.7
248	Oregon State University	USA	89	328	522	169	262	77.7
249	Complutense University of Madrid	Spain	3	253	127	245	265	77.7
250	Xi'an Jiaotong University	China	13	-	197	-	240	77.6
251	University of Sussex	United Kingdom	23	249	393	73	353	77.6
252	University of Cape Town	South Africa	1	195	263	-	236	77.6
253	University of Maryland, Baltimore	USA	90	-	-	-	209	77.6
254	University of the Witwatersrand	South Africa	2	293	79	-	308	77.6
255	University of Naples Federico II	Italy	6	-	896	-	210	77.5
256	Queen's University	Canada	12	477	367	139	296	77.5
257	University of Florence	Italy	7	-	730	-	214	77.5
258	University of Connecticut	USA	91	431	380	-	225	77.5
259	University of Aberdeen	United Kingdom	24	512	638	161	281	77.5
260	Florida State University	USA	92	-	619	-	219	77.5
261	University of Bergen	Norway	3	365	-	-	216	77.4
262	National Autonomous University of Mexico	Mexico	1	298	1344	189	253	77.4
263	University of East Anglia	United Kingdom	25	92	-	147	304	77.4
264	Indiana University – Purdue University Indianapolis	USA	93	-	912	-	217	77.4
265	University of Exeter	United Kingdom	26	202	634	-	227	77.4
266	University of Vienna	Austria	1	240	455	238	238	77.3
267	Xiamen University	China	14	-	150	-	266	77.3
268	Jilin University	China	15	-	528	-	226	77.3
269	University at Buffalo	USA	94	-	661	-	222	77.3
270	University of Liège	Belgium	5	185	-	92	339	77.3
271	Virginia Tech	USA	95	339	296	-	242	77.3
272	Shandong University	China	16	-	751	-	223	77.2
273	University of Tennessee, Knoxville	USA	96	472	333	-	241	77.2
274	Sichuan University	China	17	-	1124	-	224	77.2
275	University of Valencia	Spain	4	-	1261	-	229	77.2
276	University of New Mexico	USA	97	-	-	-	233	77.2
277	Autonomous University of Madrid	Spain	5	-	897	-	234	77.2
278	Laval University	Canada	13	459	461	-	244	77.1
279	Wayne State University	USA	98	445	265	-	254	77.1
280	University of South Florida	USA	99	-	729	-	237	77.1
281	Tianjin University	China	18	-	141	-	288	77.1
282	University College Dublin	Ireland	2	-	248	-	257	77.1
283	Washington State University	USA	100	269	786	141	310	77.0
284	City University of Hong Kong	Hong Kong	3	-	1101	-	239	77.0
285	University of Pisa	Italy	8	180	1103	-	248	77.0
286	Nankai University	China	19	-	249	-	260	77.0
287	George Washington University	USA	101	327	170	-	286	77.0
288	University of Kentucky	USA	102	313	513	-	250	77.0
289	Louisiana State University	USA	103	416	335	-	256	76.9
290	South China University of Technology	China	20	-	222	-	275	76.9
291	Hong Kong University of Science and Technology	Hong Kong	4	-	466	-	255	76.9
292	Grenoble INP	France	16	68	1244	199	343	76.9
293	London School of Economics and Political Science	United Kingdom	27	154	77	193	403	76.9
294	Durham University	United Kingdom	28	506	285	-	271	76.9
295	University of Duisburg-Essen	Germany	21	-	972	-	251	76.8
296	Medical University of Vienna	Austria	2	-	-	-	252	76.8
297	National and Kapodistrian University of Athens	Greece	1	-	641	-	258	76.8
298	University of Nebraska–Lincoln	USA	104	259	374	-	276	76.8
299	Hong Kong Polytechnic University	Hong Kong	5	-	297	-	279	76.8
300	King Abdulaziz University	Saudi Arabia	1	-	1231	-	261	76.8
301	Ruhr University Bochum	Germany	22	-	368	-	280	76.7
302	University of Dundee	United Kingdom	29	-	1349	119	351	76.7
303	University of Antwerp	Belgium	6	-	605	-	270	76.7
304	Northeastern University	USA	105	362	157	-	306	76.7
305	University of Parma	Italy	9	103	819	60	454	76.7
306	Ulm University	Germany	23	-	871	-	268	76.7
307	Soochow University, China	China	21	-	-	-	263	76.6
308	University of York	United Kingdom	30	-	-	-	264	76.6
309	University of Rome Tor Vergata	Italy	10	-	1433	-	269	76.6
310	Aalto University	Finland	2	-	207	-	294	76.6
311	École nationale d'administration	France	17	-	7	-	-	76.6
312	Southeast University	China	22	-	921	-	274	76.6
313	University of Lille	France	18	500	-	-	273	76.6
314	National Cheng Kung University	Taiwan	2	-	103	-	348	76.5
315	Southern Methodist University	USA	106	208	27	-	676	76.5
316	Leipzig University	Germany	24	448	-	241	282	76.5
317	Eindhoven University of Technology	Netherlands	11	-	803	209	298	76.5
318	University of Lorraine	France	19	491	378	216	307	76.5
319	Umeå University	Sweden	7	-	1282	-	283	76.5
320	University of Genoa	Italy	11	-	1308	-	285	76.4
321	Dalhousie University	Canada	14	198	279	-	302	76.4
322	University of Porto	Portugal	2	450	667	-	291	76.4
323	Central South University	China	23	-	228	-	309	76.4
324	Chinese Academy of Medical Sciences & Peking Union Medical College	China	24	-	-	-	289	76.4
325	Friedrich Schiller University Jena	Germany	25	-	-	-	290	76.4
326	Hanyang University	South Korea	6	-	219	-	318	76.4
327	Dalian University of Technology	China	25	-	246	-	315	76.3
328	Tongji University	China	26	-	242	-	317	76.3
329	Polytechnic University of Milan	Italy	12	373	424	184	346	76.3
330	Simon Fraser University	Canada	15	-	1289	-	293	76.3
331	Versailles Saint-Quentin-en-Yvelines University	France	20	-	-	-	295	76.3
332	University of South Carolina - Columbia	USA	107	-	515	-	300	76.3
333	University of Otago	New Zealand	2	-	833	-	299	76.2
334	University of Düsseldorf	Germany	26	228	-	-	303	76.2
335	Ben-Gurion University of the Negev	Israel	5	-	-	163	363	76.2
336	École des ponts ParisTech	France	21	96	25	-	937	76.2
337	University of Granada	Spain	6	-	-	-	301	76.2
338	National Tsing Hua University	Taiwan	3	188	1206	-	313	76.2
339	Drexel University	USA	108	-	260	205	362	76.2
340	Pohang University of Science and Technology	South Korea	7	-	-	-	305	76.1
341	Linköping University	Sweden	8	-	560	-	319	76.1
342	Beihang University	China	27	-	848	-	312	76.1
343	Queen's University Belfast	United Kingdom	31	449	791	-	316	76.1
344	University of Buenos Aires	Argentina	1	238	1222	-	320	76.1
345	University of Pavia	Italy	13	473	681	245	322	76.1
346	Beijing Normal University	China	28	-	1237	-	321	76.1
347	Lancaster University	United Kingdom	32	-	562	-	330	76.0
348	Temple University	USA	109	-	685	-	328	76.0
349	Federal University of Rio de Janeiro	Brazil	2	378	408	-	335	76.0
350	CentraleSupélec	France	22	-	38	-	653	76.0
351	University of St Andrews	United Kingdom	33	344	747	-	329	76.0
352	University of Southern Denmark	Denmark	4	-	1416	-	323	76.0
353	University of Campinas	Brazil	3	-	-	-	324	76.0
354	University of Milano-Bicocca	Italy	14	-	-	-	325	75.9
355	University of Turku	Finland	3	-	1388	-	326	75.9
356	Hannover Medical School	Germany	27	-	-	-	327	75.9
357	Kyung Hee University	South Korea	8	-	1104	-	331	75.9
358	University of the Basque Country	Spain	7	-	1147	-	332	75.9
359	University of Belgrade	Serbia	1	424	-	-	333	75.9
360	Curtin University	Australia	9	-	1347	-	334	75.9
361	Vrije Universiteit Brussel	Belgium	7	380	-	-	338	75.8
362	Jagiellonian University	Poland	1	-	-	-	337	75.8
363	University of Stuttgart	Germany	28	79	329	-	415	75.8
364	University of Regensburg	Germany	29	-	763	-	341	75.8
365	Technical University of Berlin	Germany	30	219	519	-	350	75.8
366	Medical University of South Carolina	USA	110	-	-	-	342	75.8
367	Aalborg University	Denmark	5	-	784	-	344	75.8
368	Pontifical Catholic University of Chile	Chile	1	502	191	-	390	75.7
369	University of Perugia	Italy	15	-	-	-	345	75.7
370	Justus Liebig University Giessen	Germany	31	-	-	-	347	75.7
371	Macquarie University	Australia	10	-	574	-	352	75.7
372	University of Victoria	Canada	16	-	-	-	349	75.7
373	University of Texas at Dallas	USA	111	186	494	-	366	75.7
374	University at Albany, SUNY	USA	112	135	874	177	426	75.7
375	University of Oklahoma, Norman	USA	113	-	362	-	374	75.7
376	Tampere University	Finland	4	-	379	-	373	75.6
377	Chalmers University of Technology	Sweden	9	516	372	-	378	75.6
378	Swedish University of Agricultural Sciences	Sweden	10	138	-	-	377	75.6
379	Griffith University	Australia	11	-	1324	-	354	75.6
380	University of Texas Health Science Center at San Antonio	USA	114	-	-	-	355	75.6
381	Stellenbosch University	South Africa	3	-	153	-	420	75.6
382	China Agricultural University	China	29	-	1105	-	359	75.6
383	Thomas Jefferson University	USA	115	-	-	-	358	75.5
384	Stockholm School of Economics	Sweden	11	-	20	222	1753	75.5
385	University of Wollongong	Australia	12	-	573	-	371	75.5
386	Beijing Institute of Technology	China	30	-	1038	-	361	75.5
387	University of Ljubljana	Slovenia	1	-	-	-	364	75.5
388	University of Newcastle	Australia	13	-	1285	-	365	75.5
389	University of Twente	Netherlands	12	-	960	-	368	75.5
390	Queensland University of Technology	Australia	14	-	1158	-	367	75.5
391	Pompeu Fabra University	Spain	8	-	-	-	370	75.4
392	University of Oregon	USA	116	379	-	-	372	75.4
393	École des Hautes Études en Sciences Sociales	France	23	14	718	-	1150	75.4
394	University of Warsaw	Poland	2	460	991	-	376	75.4
395	East China University of Science and Technology	China	31	-	-	-	375	75.4
396	King Saud University	Saudi Arabia	2	-	426	-	388	75.4
397	Hunan University	China	32	-	582	-	382	75.4
398	Kobe University	Japan	12	88	419	-	429	75.4
399	George Mason University	USA	117	-	1432	172	437	75.3
400	Lanzhou University	China	33	-	1060	-	379	75.3
401	University of Ulsan	South Korea	9	-	625	-	383	75.3
402	Deakin University	Australia	15	-	916	-	380	75.3
403	University of Rennes 1	France	24	-	-	-	381	75.3
404	York University	Canada	17	-	238	-	409	75.3
405	University of Oulu	Finland	5	-	657	-	387	75.3
406	University of Zaragoza	Spain	9	522	939	-	384	75.3
407	Tulane University	USA	118	340	344	-	404	75.2
408	University of Tasmania	Australia	16	-	-	-	385	75.2
409	University of Innsbruck	Austria	3	-	760	240	397	75.2
410	University of Seville	Spain	10	-	1464	-	386	75.2
411	National Chiao Tung University	Taiwan	4	-	307	-	407	75.2
412	Vienna University of Technology	Austria	4	518	696	-	394	75.2
413	Texas Tech University	USA	119	-	432	-	399	75.2
414	University of Trieste	Italy	16	439	956	-	392	75.2
415	Hiroshima University	Japan	13	-	1359	-	389	75.1
416	University of Coimbra	Portugal	3	514	1122	-	393	75.1
417	Aristotle University of Thessaloniki	Greece	2	-	-	-	391	75.1
418	University of Chile	Chile	2	-	470	-	401	75.1
419	University of Eastern Finland	Finland	6	-	-	-	395	75.1
420	Kansas State University	USA	120	413	425	-	405	75.1
421	University of Bari	Italy	17	-	-	-	396	75.1
422	China Europe International Business School	China	34	-	13	-	-	75.1
423	University of Navarra	Spain	11	-	99	192	574	75.0
424	University of KwaZulu-Natal	South Africa	4	484	267	-	424	75.0
425	University of Marburg	Germany	32	444	-	250	398	75.0
426	University of Hull	United Kingdom	34	127	225	114	618	75.0
427	University of Bath	United Kingdom	35	-	561	-	406	75.0
428	Boston College	USA	121	-	134	-	468	75.0
429	Kyungpook National University	South Korea	10	-	837	-	402	75.0
430	University of Vermont	USA	122	-	440	-	414	75.0
431	King Abdullah University of Science and Technology	Saudi Arabia	3	-	-	-	400	74.9
432	Hitotsubashi University	Japan	14	-	15	-	-	74.9
433	Colorado School of Mines	USA	123	-	52	-	669	74.9
434	East China Normal University	China	35	-	441	-	418	74.9
435	Indian Institute of Science	India	1	209	648	-	417	74.9
436	Rensselaer Polytechnic Institute	USA	124	291	143	-	479	74.9
437	University of Saskatchewan	Canada	18	455	647	-	412	74.9
438	University of Electronic Science and Technology of China	China	36	-	689	-	413	74.9
439	University of Louisville	USA	125	-	775	-	411	74.8
440	Medical College of Wisconsin	USA	126	-	-	-	408	74.8
441	Vita-Salute San Raffaele University	Italy	18	-	-	-	410	74.8
442	University of Malaya	Malaysia	1	-	363	-	434	74.8
443	Polytechnic University of Catalonia	Spain	12	-	600	-	423	74.8
444	São Paulo State University	Brazil	4	-	-	-	416	74.8
445	Pusan National University	South Korea	11	-	577	-	425	74.8
446	City College of New York	USA	127	24	418	-	751	74.8
447	Okayama University	Japan	15	275	529	-	432	74.8
448	University of Guelph	Canada	19	-	1162	-	419	74.7
449	Lehigh University	USA	128	165	59	-	674	74.7
450	University of Central Florida	USA	129	-	1050	-	421	74.7
451	Catholic University of the Sacred Heart	Italy	19	-	1203	-	422	74.7
452	Federal University of Minas Gerais	Brazil	5	-	651	-	431	74.7
453	University of Strathclyde	United Kingdom	36	-	325	-	448	74.7
454	Federal University of Rio Grande do Sul	Brazil	6	-	1218	-	427	74.7
455	Chonnam National University	South Korea	12	-	1196	-	428	74.7
456	University of Santiago de Compostela	Spain	13	-	898	-	430	74.7
457	University of Science and Technology Beijing	China	37	-	198	-	470	74.6
458	Amherst College	USA	130	18	61	-	-	74.6
459	James Cook University	Australia	17	-	1112	-	433	74.6
460	Chongqing University	China	38	-	539	-	446	74.6
461	University of Tennessee Health Science Center	USA	131	-	-	-	435	74.6
462	University of Clermont Auvergne	France	25	-	-	-	436	74.6
463	University of Technology Sydney	Australia	18	-	1041	-	439	74.6
464	Islamic Azad University	Iran	1	-	-	-	438	74.6
465	Saint Louis University	USA	132	367	342	220	487	74.5
466	École normale supérieure de Lyon	France	26	230	-	218	466	74.5
467	University of Mississippi	USA	133	-	-	-	440	74.5
468	West Virginia University	USA	134	-	312	-	457	74.5
469	University of Trento	Italy	20	-	-	-	442	74.5
470	University of Siena	Italy	21	-	1217	-	443	74.5
471	Polytechnic University of Valencia	Spain	14	-	-	-	444	74.5
472	University of Canterbury	New Zealand	3	384	346	175	543	74.5
473	Capital Medical University	China	39	-	-	-	445	74.5
474	Illinois Institute of Technology	USA	135	42	120	-	771	74.4
475	Rovira i Virgili University	Spain	15	-	-	-	447	74.4
476	TU Darmstadt	Germany	33	334	744	-	450	74.4
477	Martin Luther University Halle-Wittenberg	Germany	34	511	-	243	451	74.4
